District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Fertilizer
solapur,Black,75,50,100,6.5,1000,20,Urea
Kolhapur,Black,80,50,100,6.5,1000,20,Urea
Kolhapur,Black,85,50,100,6.5,1000,20,Urea
Kolhapur,Black,90,50,100,6.5,1000,20,Urea
Kolhapur,Black,95,50,100,6.5,1000,20,Urea
Kolhapur,Black,100,50,100,6.5,1000,20,Urea
Kolhapur,Black,75,55,105,7.0,1100,25,Urea
Kolhapur,Black,80,55,105,7.0,1100,25,Urea
Kolhapur,Black,85,55,105,7.0,1100,25,Urea
Kolhapur,Black,90,55,105,7.0,1100,25,Urea
Kolhapur,Black,95,55,105,7.0,1100,25,Urea
Kolhapur,Black,100,55,105,7.0,1100,25,Urea
Kolhapur,Black,75,60,110,7.5,1200,30,Urea
Kolhapur,Black,80,60,110,7.5,1200,30,Urea
Kolhapur,Black,85,60,110,7.5,1200,30,Urea
Kolhapur,Black,90,60,110,7.5,1200,30,Urea
Kolhapur,Black,95,60,110,7.5,1200,30,Urea
Kolhapur,Black,100,60,110,7.5,1200,30,Urea
Kolhapur,Black,75,50,115,6.5,1300,35,Urea
Kolhapur,Black,80,50,115,6.5,1300,35,Urea
Kolhapur,Black,85,50,115,6.5,1300,35,Urea
Kolhapur,Black,90,50,115,6.5,1300,35,Urea
Kolhapur,Black,95,50,115,6.5,1300,35,Urea
Kolhapur,Black,100,50,115,6.5,1300,35,Urea
Kolhapur,Black,75,55,100,7.0,1400,20,DAP
Kolhapur,Black,80,55,100,7.0,1400,20,DAP
Kolhapur,Black,85,55,100,7.0,1400,20,DAP
Kolhapur,Black,90,55,100,7.0,1400,20,DAP
Kolhapur,Black,95,55,100,7.0,1400,20,DAP
Kolhapur,Black,100,55,100,7.0,1400,20,DAP
Kolhapur,Black,75,60,105,7.5,1500,25,DAP
Kolhapur,Black,80,60,105,7.5,1500,25,DAP
Kolhapur,Black,85,60,105,7.5,1500,25,DAP
Kolhapur,Black,90,60,105,7.5,1500,25,DAP
Kolhapur,Black,95,60,105,7.5,1500,25,DAP
